mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	slur
93	93	739/4	739/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	883		
93	93	185	185	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	884		
93	93	741/4	741/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	885		
93	93	371/2	371/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	886		
93	93	743/4	743/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	887		
93	93	184	184	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	888		
93	93	369/2	369/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	889		
93	93	185	185	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	890		
93	93	371/2	371/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	891		
94	94	186	186	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	892	ornamentTrill	
94	94	373/2	373/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	893		
94	94	747/4	747/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	894		
94	94	187	187	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	895		
94	94	749/4	749/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	896		
94	94	375/2	375/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	897		
94	94	751/4	751/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	898		
94	94	186	186	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	899		
94	94	187	187	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	900		
95	95	188	188	0.16666666666666666	0	0	Chord	2/4	1	1	1/24	1/16	2/3	901		
95	95	1129/6	1129/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24	1/16	2/3	902		
95	95	565/3	565/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24	1/16	2/3	903		
95	95	377/2	377/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	904		
95	95	566/3	566/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	905		
95	95	1133/6	1133/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	906		
95	95	189	189	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24	1/16	2/3	907		
95	95	1135/6	1135/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24	1/16	2/3	908		
95	95	568/3	568/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24	1/16	2/3	909		
95	95	379/2	379/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24	1/16	2/3	910		
95	95	569/3	569/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24	1/16	2/3	911		
95	95	1139/6	1139/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24	1/16	2/3	912		
95	95	188	188	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	913		
96	96	190	190	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	914		
96	96	383/2	383/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	915		
96	96	381/2	381/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	916		
96	96	191	191	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	917		
96	96	190	190	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	918		
96	96	383/2	383/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	919		
97	97	192	192	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	920		
97	97	387/2	387/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	921		
97	97	192	192	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	922		
97	97	385/2	385/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	923		
97	97	193	193	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	924		
97	97	192	192	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	925		
97	97	387/2	387/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	926		
98	98	194	194	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	927		
98	98	777/4	777/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	928		
98	98	389/2	389/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	929		
98	98	779/4	779/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	930		
98	98	195	195	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	931		
98	98	781/4	781/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	932		
98	98	391/2	391/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	933		
98	98	783/4	783/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	934		
98	98	194	194	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	935		
98	98	389/2	389/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	936		
98	98	195	195	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	937		
98	98	391/2	391/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	938		
99	99	196	196	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	939		
99	99	785/4	785/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	940		
99	99	393/2	393/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	941		
99	99	787/4	787/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	942		
99	99	197	197	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	943	ornamentTrill	
99	99	395/2	395/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	944		
99	99	791/4	791/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	945		
99	99	196	196	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	946		
99	99	393/2	393/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	947		
99	99	197	197	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	948		
99	99	395/2	395/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	949		
100	100	198	198	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	950		
100	100	397/2	397/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	951		
100	100	199	199	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	952		
100	100	399/2	399/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	953		
100	100	198	198	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	954		
101	101	200	200	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	955		
101	101	801/4	801/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	956		
101	101	401/2	401/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	957		
101	101	803/4	803/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	958		
101	101	201	201	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	959		
101	101	805/4	805/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	960		
101	101	403/2	403/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	961		
101	101	807/4	807/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	962		
101	101	200	200	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	963		
101	101	403/2	403/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	964		
102	102	202	202	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	965		
102	102	809/4	809/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	966		
102	102	405/2	405/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	967		
102	102	811/4	811/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	968		
102	102	203	203	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	969		
102	102	813/4	813/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	970		
102	102	407/2	407/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	971		
102	102	815/4	815/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	972		
102	102	202	202	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	973		
102	102	407/2	407/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	974		
103	103	204	204	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	975		
103	103	817/4	817/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	976		
103	103	409/2	409/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	977		
103	103	819/4	819/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	978		
103	103	205	205	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	979		
103	103	821/4	821/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	980		
103	103	411/2	411/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	981		
103	103	823/4	823/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	982		
103	103	204	204	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	983		
103	103	409/2	409/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	984		
103	103	205	205	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	985		
103	103	411/2	411/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	986		
104	104	206	206	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	987		
104	104	825/4	825/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	988		
104	104	413/2	413/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	989		
104	104	827/4	827/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	990		
104	104	207	207	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	991		
104	104	829/4	829/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	992		
104	104	415/2	415/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	993		
104	104	831/4	831/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	994		
104	104	206	206	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	995		
104	104	207	207	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	996		
105	105	208	208	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	997	ornamentTrill	
105	105	835/4	835/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	998		
105	105	209	209	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	999		
105	105	208	208	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	1000		
105	105	417/2	417/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	1001		
105	105	209	209	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	1002		
105	105	837/4	837/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	1003		
105	105	419/2	419/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	1004		
105	105	839/4	839/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	1005		
106	106	210	210	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1006		
106	106	841/4	841/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1007		
106	106	421/2	421/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1008		
106	106	843/4	843/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1009		
106	106	211	211	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1010		
106	106	845/4	845/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1011		
106	106	423/2	423/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1012		
106	106	847/4	847/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1013		
106	106	210	210	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1014		
106	106	423/2	423/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1015		
107	107	212	212	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1016		
107	107	849/4	849/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1017		
107	107	425/2	425/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1018		
107	107	851/4	851/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1019		
107	107	213	213	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1020		
107	107	853/4	853/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1021		
107	107	427/2	427/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1022		
107	107	855/4	855/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1023		
107	107	212	212	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1024		
107	107	427/2	427/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1025		
108	108	214	214	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1026		
108	108	857/4	857/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1027		
108	108	429/2	429/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1028		
108	108	859/4	859/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1029		
108	108	215	215	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1030		
108	108	861/4	861/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1031		
108	108	431/2	431/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1032		
108	108	863/4	863/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1033		
108	108	214	214	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	1034		
108	108	429/2	429/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	1035		
108	108	215	215	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	1036		
108	108	431/2	431/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1037		
109	109	216	216	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1038		
109	109	865/4	865/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1039		
109	109	433/2	433/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1040		
109	109	867/4	867/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1041		
109	109	217	217	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	1042	ornamentTrill	
109	109	435/2	435/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1043		
109	109	871/4	871/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1044		
109	109	216	216	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	1045		
109	109	433/2	433/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	1046		
109	109	217	217	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	1047		
109	109	435/2	435/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1048		
110	110	218	218	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	1049		
110	110	218	218	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	1050		
110	110	437/2	437/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	1051		
110	110	219	219	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	1052		
110	110	439/2	439/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1053		
111	111	220	220	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1054		
111	111	881/4	881/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1055		
111	111	441/2	441/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1056		
111	111	883/4	883/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1057		
111	111	221	221	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1058		
111	111	885/4	885/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1059		
111	111	443/2	443/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1060		
111	111	887/4	887/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1061		
111	111	220	220	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1062		
111	111	443/2	443/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1063		
112	112	222	222	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1064		
112	112	889/4	889/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1065		
112	112	445/2	445/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1066		
112	112	891/4	891/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1067		
112	112	223	223	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1068		
112	112	893/4	893/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1069		
112	112	447/2	447/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1070		
112	112	895/4	895/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1071		
112	112	222	222	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1072		
112	112	447/2	447/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1073		
112	112	447/2	447/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	1074		
113	113	224	224	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1075		
113	113	897/4	897/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1076		
113	113	449/2	449/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1077		
113	113	899/4	899/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1078		
113	113	225	225	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1079		
113	113	901/4	901/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1080		
113	113	451/2	451/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1081		
113	113	903/4	903/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1082		
113	113	224	224	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1083		
113	113	225	225	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	1084		
113	113	451/2	451/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1085		
113	113	224	224	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	1086		
113	113	449/2	449/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	1087		
113	113	225	225	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	1088		
114	114	226	226	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1089		
114	114	905/4	905/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1090		
114	114	453/2	453/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1091		
114	114	907/4	907/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1092		
114	114	227	227	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1093		
114	114	909/4	909/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1094		
114	114	455/2	455/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1095		
114	114	911/4	911/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1096		
114	114	226	226	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1097		
114	114	227	227	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	1098		
115	115	228	228	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1099		
115	115	913/4	913/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1100		
115	115	457/2	457/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1101		
115	115	915/4	915/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1102		
115	115	229	229	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	1103		
115	115	228	228	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1104		
115	115	229	229	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	1105		
115	115	917/4	917/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	1106		
115	115	459/2	459/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	1107		
115	115	919/4	919/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	1108		
116	116	230	230	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1109		
116	116	921/4	921/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1110		
116	116	461/2	461/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1111		
116	116	923/4	923/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1112		
116	116	231	231	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1113		
116	116	925/4	925/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1114		
116	116	463/2	463/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1115		
116	116	927/4	927/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1116		
116	116	230	230	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1117		
116	116	463/2	463/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1118		
117	117	232	232	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1119		
117	117	929/4	929/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1120		
117	117	465/2	465/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1121		
117	117	931/4	931/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1122		
117	117	233	233	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1123		
117	117	933/4	933/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1124		
117	117	467/2	467/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1125		
117	117	935/4	935/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1126		
117	117	232	232	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1127		
117	117	467/2	467/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1128		
117	117	467/2	467/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	1129		
118	118	234	234	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1130		
118	118	937/4	937/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1131		
118	118	469/2	469/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1132		
118	118	939/4	939/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1133		
118	118	235	235	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	1134		
118	118	941/4	941/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1135		
118	118	471/2	471/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1136		
118	118	943/4	943/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1137		
118	118	234	234	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1138		
118	118	235	235	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	1139		
118	118	471/2	471/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1140		
118	118	234	234	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	1141		
118	118	469/2	469/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	1142		
118	118	235	235	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	1143		
119	119	236	236	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	1144		
119	119	945/4	945/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1145		
119	119	473/2	473/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	1146		
119	119	947/4	947/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1147		
119	119	237	237	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	1148	ornamentTrill	
119	119	475/2	475/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	1149		
119	119	951/4	951/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	1150		
119	119	236	236	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	1151		
119	119	237	237	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	1152		
119	119	475/2	475/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1153		
119	119	236	236	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	1154		
119	119	473/2	473/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	1155		
120	120	238	238	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	1156		
120	120	238	238	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	1157		
120	120	477/2	477/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	1158		
120	120	239	239	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	1159		
120	120	479/2	479/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	1160		
121	121	240	240	0.16666666666666666	0	0	Chord	2/4	1	1	1/24	1/16	2/3	1161		0
121	121	1441/6	1441/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24	1/16	2/3	1162		0
121	121	721/3	721/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24	1/16	2/3	1163		
121	121	481/2	481/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	1164		1
121	121	722/3	722/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	1165		1
121	121	1445/6	1445/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	1166		
121	121	241	241	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24	1/16	2/3	1167		2
121	121	1447/6	1447/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24	1/16	2/3	1168		2
121	121	724/3	724/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24	1/16	2/3	1169		
121	121	483/2	483/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24	1/16	2/3	1170		3
121	121	725/3	725/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24	1/16	2/3	1171		3
